planTime,arrivalTime,plannedCost,success,nodes,attempts,executedCost,collision
2327,32051,61.1866379,True,901,1002,59.1550026,False
1426,32147,63.292305,True,882,1002,61.0763969,False
1475,33313,63.95237,True,893,1002,62.2413673,False
1455,31757,62.56544,True,883,1002,60.2787056,False
1481,31450,61.6317673,True,893,1002,59.61952,False
2210,31665,60.1741333,True,1312,1502,58.51444,False
2138,31604,59.8891335,True,1333,1502,58.2518654,False
2352,32340,60.95952,True,1339,1502,59.333107,False
